R2,48.94,-12.69,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,159.89,-18.83,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,88.73,24.29,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,155.87,32.40,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,147.63,26.17,90.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,124.47,20.29,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,55.94,4.21,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,57.68,4.21,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,33.00,25.61,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,48.32,-8.89,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,37.04,3.01,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,30.66,4.31,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,24.18,5.01,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.04,84.63,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,60.78,84.11,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,92.86,37.44,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,45.63,84.11,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,54.78,-9.87,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.60,84.21,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,162.45,-13.98,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,49.06,-15.61,0.00,,SJ
TP1,98.31,-18.91,0.00,TPTP20R,TP20R
TP10,5.59,55.21,0.00,TPTP20R,TP20R
TP11,2.39,55.19,0.00,TPTP20R,TP20R
TP12,9.14,55.11,0.00,TPTP20R,TP20R
TP13,12.59,55.31,0.00,TPTP20R,TP20R
TP14,149.09,37.99,0.00,TPTP20R,TP20R
TP15,77.74,84.89,0.00,TPTP20R,TP20R
TP16,73.59,84.79,0.00,TPTP20R,TP20R
TP17,90.44,-19.01,0.00,TPTP20R,TP20R
TP2,106.53,-18.91,0.00,TPTP20R,TP20R
TP3,149.15,42.09,0.00,TPTP20R,TP20R
TP4,110.57,-18.81,0.00,TPTP20R,TP20R
TP5,84.19,84.51,0.00,TPTP20R,TP20R
TP6,102.51,-19.01,0.00,TPTP20R,TP20R
TP7,2.83,15.69,0.00,TPTP20R,TP20R
TP8,2.45,19.89,0.00,TPTP20R,TP20R
TP9,94.37,-19.11,0.00,TPTP20R,TP20R
U1,38.79,33.16,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.58,32.64,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,84.65,31.30,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,137.97,34.62,0.00,MAX17048G+T10,SON50P200X200X80-9N
